week_date,week_count,sui1,sui2,sui3,neg,pos,pre
2014-05-25,17,0,74,79,0.527,0.881,17
2014-06-01,16,24,100,0,0.636,1.324,16
2014-06-08,19,30,0,91,1.111,1.138,19
2014-06-15,9,35,0,36,1.435,1.092,9
2014-06-22,19,52,0,36,0.717,0.956,19
2014-06-29,12,30,0,0,1.401,0.669,12
2014-07-06,15,26,0,26,0.836,1.335,15
2014-07-13,12,47,0,41,0.54,1.151,12
2014-07-20,9,100,0,36,0.763,1.456,9
2014-07-27,12,0,80,25,1.163,1.343,12
2014-08-03,13,0,0,32,0.972,0.713,13
2014-08-10,13,36,0,49,1.481,1.016,13
2014-08-17,9,25,100,79,1.305,0.5,9
2014-08-24,13,52,100,28,0.745,1.178,13
2014-08-31,8,0,0,32,1.434,0.951,8
2014-09-07,10,30,100,30,1.126,0.97,10
2014-09-14,12,35,80,61,0.826,0.739,12
2014-09-21,12,25,0,36,0.632,0.606,12
2014-09-28,5,38,100,100,0.922,0.553,5
2014-10-05,7,0,0,100,1.457,0.803,7
2014-10-12,12,24,0,32,0.51,1.062,12
2014-10-19,9,0,0,91,0.726,0.959,9
2014-10-26,14,35,0,0,0.957,1.207,14
2014-11-02,9,47,0,69,0.686,0.921,9
2014-11-09,7,50,0,31,0.582,1.08,7
2014-11-16,13,25,0,32,1.155,1.121,13
2014-11-23,10,36,92,28,1.048,0.771,10
2014-11-30,16,24,0,27,0.931,1.178,16
2014-12-07,8,48,0,42,1.4,0.797,8
2014-12-14,5,0,0,0,0.863,1.358,5
2014-12-21,9,52,0,32,0.557,0.578,9
2014-12-28,4,52,80,31,1.286,1.196,4
2015-01-04,6,25,100,56,1.263,0.758,6
2015-01-11,13,26,89,41,0.825,0.862,13
2015-01-18,8,24,100,61,1.088,0.609,8
2015-01-25,14,34,0,79,0.68,1.257,14
2015-02-01,15,25,0,32,1.385,0.967,15
2015-02-08,12,24,0,29,0.756,0.528,12
2015-02-15,8,25,92,32,1.207,1.392,8
2015-02-22,13,0,0,0,0.516,1.351,13
2015-03-01,9,25,92,56,1.001,0.565,9
2015-03-08,13,30,100,56,0.995,0.646,13
2015-03-15,18,0,0,49,1.284,0.966,18
2015-03-22,4,0,0,61,0.786,0.74,4
2015-03-29,9,47,78,25,1.403,1.125,9
2015-04-05,15,30,0,25,0.756,1.115,15
2015-04-12,9,48,78,0,1.041,0.707,9
2015-04-19,9,30,100,41,1.185,1.343,9
2015-04-26,7,52,86,79,0.514,1.121,7
2015-05-03,12,25,0,0,0.729,0.99,12
2015-05-10,16,0,0,41,0.695,0.85,16
2015-05-17,5,0,74,29,1.093,0.565,5
2015-05-24,12,0,92,0,0.584,0.955,12
